date,entry_time,entry_price,entry_credit,contracts,exit_reason,pnl
2025-07-15,2.5,626.43,1.3125,10,SL,-1.3125
2025-07-15,3.0,627.43,1.375,10,TP (50%),6.875
2025-07-15,3.5,627.66,1.4375,10,SL,-1.4375000000000002
2025-07-16,0.0,621.37,1.0,10,Hold: Worthless,10.0
2025-07-16,0.5,621.81,1.0625,10,Hold: Worthless,10.625
2025-07-16,1.0,622.12,1.125,10,SL,-1.125
2025-07-16,1.5,621.69,1.1875,10,TP (50%),5.9375
2025-07-16,2.0,622.49,1.25,10,Hold: Worthless,12.5
2025-07-16,2.5,623.55,1.3125,10,Hold: Worthless,13.125
2025-07-16,3.0,623.5006,1.375,10,Hold: Worthless,13.75
2025-07-16,3.5,623.24,1.4375,10,Hold: Worthless,14.375
2025-07-17,0.0,624.93,1.0,10,Hold: Worthless,10.0
2025-07-17,0.5,624.48,1.0625,10,SL,-1.0625
2025-07-17,1.0,624.24,1.125,10,TP (50%),5.625
2025-07-17,1.5,623.81,1.1875,10,Hold: Worthless,11.875
2025-07-17,2.0,623.79,1.25,10,SL,-1.25
2025-07-17,2.5,625.02,1.3125,10,SL,-1.3125
2025-07-17,3.0,624.73,1.375,10,Hold: Worthless,13.75
2025-07-17,3.5,625.9001,1.4375,10,SL,-1.4375000000000002
2025-07-18,0.0,629.08,1.0,10,Hold: Worthless,10.0
2025-07-18,0.5,628.44,1.0625,10,Hold: Worthless,10.625
2025-07-18,1.0,628.39,1.125,10,TP (50%),5.625
2025-07-18,1.5,628.54,1.1875,10,TP (50%),5.9375
2025-07-18,2.0,628.6,1.25,10,Hold: Worthless,12.5
2025-07-18,2.5,628.8,1.3125,10,TP (50%),6.5625
2025-07-18,3.0,628.85,1.375,10,SL,-1.375
2025-07-18,3.5,629.05,1.4375,10,TP (50%),7.1875
2025-07-21,0.0,629.43,1.0,10,SL,-1.0
2025-07-21,0.5,629.05,1.0625,10,SL,-1.0625
2025-07-21,1.0,629.09,1.125,10,SL,-1.125
2025-07-21,1.5,628.9457,1.1875,10,Hold: Worthless,11.875
2025-07-21,2.0,628.9299,1.25,10,Hold: Worthless,12.5
2025-07-21,2.5,628.39,1.3125,10,SL,-1.3125
2025-07-21,3.0,629.48,1.375,10,TP (50%),6.875
2025-07-21,3.5,630.68,1.4375,10,TP (50%),7.1875
2025-07-22,0.0,627.97,1.0,10,Hold: Worthless,10.0
2025-07-22,0.5,628.15,1.0625,10,SL,-1.0625
2025-07-22,1.0,628.42,1.125,10,SL,-1.125
2025-07-22,1.5,628.87,1.1875,10,TP (50%),5.9375
2025-07-22,2.0,629.02,1.25,10,SL,-1.25
2025-07-22,2.5,629.13,1.3125,10,SL,-1.3125
2025-07-22,3.0,628.92,1.375,10,Hold: Worthless,13.75
2025-07-22,3.5,626.8799,1.4375,10,SL,-1.4375000000000002
2025-07-23,0.0,631.2,1.0,10,TP (50%),5.0
2025-07-23,0.5,631.39,1.0625,10,TP (50%),5.3125
2025-07-23,1.0,631.5,1.125,10,SL,-1.125
2025-07-23,1.5,631.14,1.1875,10,TP (50%),5.9375
2025-07-23,2.0,631.53,1.25,10,TP (50%),6.25
2025-07-23,2.5,631.17,1.3125,10,TP (50%),6.5625
2025-07-23,3.0,631.37,1.375,10,TP (50%),6.875
2025-07-23,3.5,631.11,1.4375,10,SL,-1.4375000000000002
2025-07-24,0.0,634.71,1.0,10,TP (50%),5.0
2025-07-24,0.5,634.26,1.0625,10,TP (50%),5.3125
2025-07-24,1.0,634.52,1.125,10,TP (50%),5.625
2025-07-24,1.5,634.68,1.1875,10,TP (50%),5.9375
2025-07-24,2.0,634.3,1.25,10,TP (50%),6.25
2025-07-24,2.5,634.08,1.3125,10,SL,-1.3125
2025-07-24,3.0,634.42,1.375,10,Hold: Worthless,13.75
2025-07-24,3.5,634.76,1.4375,10,SL,-1.4375000000000002
2025-07-25,0.0,635.31,1.0,10,SL,-1.0
2025-07-25,0.5,635.47,1.0625,10,Hold: Worthless,10.625
2025-07-25,1.0,635.3,1.125,10,Hold: Worthless,11.25
2025-07-25,1.5,635.06,1.1875,10,SL,-1.1875
2025-07-25,2.0,635.52,1.25,10,SL,-1.25
2025-07-25,2.5,634.95,1.3125,10,TP (50%),6.5625
2025-07-25,3.0,635.2999,1.375,10,Hold: Worthless,13.75
2025-07-25,3.5,635.31,1.4375,10,SL,-1.4375000000000002
2025-07-28,0.0,639.02,1.0,10,SL,-1.0
2025-07-28,0.5,638.73,1.0625,10,TP (50%),5.3125
2025-07-28,1.0,638.06,1.125,10,SL,-1.125
2025-07-28,1.5,638.3,1.1875,10,Hold: Worthless,11.875
2025-07-28,2.0,638.27,1.25,10,TP (50%),6.25
2025-07-28,2.5,638.32,1.3125,10,Hold: Worthless,13.125
2025-07-28,3.0,638.53,1.375,10,TP (50%),6.875
2025-07-28,3.5,637.6,1.4375,10,SL,-1.4375000000000002
2025-07-29,0.0,638.46,1.0,10,Hold: Worthless,10.0
2025-07-29,0.5,638.73,1.0625,10,SL,-1.0625
2025-07-29,1.0,638.51,1.125,10,SL,-1.125
2025-07-29,1.5,638.49,1.1875,10,SL,-1.1875
2025-07-29,2.0,638.32,1.25,10,Hold: Worthless,12.5
2025-07-29,2.5,638.0,1.3125,10,Hold: Worthless,13.125
